id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price,offerName,subCollection,subCollectionId
211331,https://www.lenskart.com/vincent-chase-vc-s16143-c1-sunglasses.html,Green,Wide,141 mm,Vincent Chase Polarized,VC S16143,sunglasses,550,0.0,839,0,1500,1500,VCSUN,HOLIDAY EDIT,27232.0
212713,https://www.lenskart.com/lenskart-air-la-e16431-c1-eyeglasses.html,Pink,Medium,134 mm,Lenskart Air,LA E16431,eyeframe,207,0.0,1066,0,1700,1700,VCEYE,TR Essentials,26981.0
212847,https://www.lenskart.com/john-jacobs-jj-e16450-c2-eyeglasses.html,Gunmetal,Extra Wide,148 mm,John Jacobs,JJ E16450,eyeframe,431,0.0,583,0,6000,6000,JJEYE,Supreme Steel luxe,27314.0
213242,https://www.lenskart.com/vincent-chase-vc-s16540-c2-sunglasses.html,Gold,Medium,138 mm,Vincent Chase Polarized,VC S16540,sunglasses,126,0.0,1185,0,1500,1500,VCSUN,Fashion Essentials 2.0,27721.0
138330,https://www.lenskart.com/john-jacobs-jj-e13099-c2-eyeglasses.html,Silver,Wide,138 mm,John Jacobs,JJ E13099,eyeframe,3400,4.25,59,1549,3500,3500,JJBOGO,Supreme Steel,26271.0
140641,https://www.lenskart.com/john-jacobs-jj-e13316-c1-eyeglasses.html,Blue,Wide,140 mm,John Jacobs Online,JJ E13316,eyeframe,5247,5.0,726,1570,3500,3500,JJBOGO,Rich Acetate,26361.0
141867,https://www.lenskart.com/transparent-full-rim-square-large-size-142-lenskart-safety-goggles-l-e13333-c1-eyeglasses.html,Transparent,Wide,,Lenskart Safety Goggles,L E13333,non_power_reading,8509,4.6,1679,2066,499,250,,,
201113,https://www.lenskart.com/vincent-chase-vc-e14805-c2-eyeglasses.html,Tortoise,Wide,139 mm,Vincent Chase,VC E14805,eyeframe,3631,4.6,214,0,1700,1700,VCEYE,Series A,25040.0
205403,https://www.lenskart.com/lenskart-lk-e15182-c3-eyeglasses.html,Transparent,Medium,135 mm,Lenskart STUDIO,LK E15182,eyeframe,3833,4.0,47,0,2000,2000,VCEYE,Hip Hop,26301.0
206146,https://www.lenskart.com/john-jacobs-jj-s15328-c1-sunglasses.html,Gold Tortoise,Extra Wide,143 mm,John Jacobs,JJ S15328,sunglasses,2044,0.0,1283,0,6000,6000,JJSUN,JJ Rhapsody,26341.0
