product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/lenskart-air-la-e16647-c1-eyeglasses.html,Grey,Medium,134 mm,Lenskart Air,LA E16647,eyeframe,1107,0.0,1726
https://www.lenskart.com/vincent-chase-vc-s16663-c1-sunglasses.html,Brown,Medium,136 mm,Vincent Chase Polarized,VC S16663,sunglasses,497,0.0,998
https://www.lenskart.com/vincent-chase-vc-e15217-c2-eyeglasses.html,Brown,Medium,137 mm,Vincent Chase Online,VC E15217,eyeframe,3083,0.0,1500
https://www.lenskart.com/lenskart-air-la-e14365-c2-eyeglasses.html,Grey,Wide,138 mm,Lenskart Air,LA E14365,eyeframe,12584,4.7,3515
https://www.lenskart.com/aquacolor-premium-dusk-blue-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Dusk Blue Zero Power Monthly,contact_lens,12654,4.75,50007
https://www.lenskart.com/lenskart-air-la-e16029-c3-eyeglasses.html,Grey,Medium,134 mm,Lenskart Air,LA E16029,eyeframe,1693,0.0,215
https://www.lenskart.com/john-jacobs-jj-e15892-c2-eyeglasses.html,Black,Medium,137 mm,John Jacobs,JJ E15892,eyeframe,1445,0.0,15
https://www.lenskart.com/john-jacobs-jj-e11209-half-rim-rectangle-c6-eyeglasses.html,Brown,Medium,136 mm,John Jacobs,JJ E11209,eyeframe,17531,4.25,2530
https://www.lenskart.com/vincent-chase-vc-s14461--xw-c1-sunglasses.html,Black,Extra Wide,148 mm,Vincent Chase Polarized,VC S14461-XW,sunglasses,4114,0.0,654
https://www.lenskart.com/lenskart-air-la-e16164-c3-eyeglasses.html,Grey,Wide,138 mm,Lenskart Air,LA E16164,eyeframe,1291,0.0,1602
https://www.lenskart.com/vincent-chase-vc-s15764-c2-sunglasses.html,Black,Wide,142 mm,Vincent Chase Polarized,VC S15764,sunglasses,2738,0.0,33
https://www.lenskart.com/vincent-chase-vc-e16649-c2-eyeglasses.html,Blue,Medium,136 mm,Vincent Chase,VC E16649,eyeframe,460,0.0,1239
https://www.lenskart.com/john-jacobs-jj-e11291-c6-eyeglasses.html,Black,Wide,140 mm,John Jacobs,JJ E11291,eyeframe,2184,4.6,5415
https://www.lenskart.com/vincent-chase-vc-e13447-c8-eyeglasses.html,Blue,Extra Narrow,125 mm,Vincent Chase,VC E13447,eyeframe,1735,0.0,212
https://www.lenskart.com/aquacolor-spicy-grey-daily-disposable-candy-pack-2-lens-pack.html,,,,Aquacolor Candypack,Aquacolor Candypack Spicy Gray Powered Daily,contact_lens,97385,0.0,0
https://www.lenskart.com/aquacolor-premium-brown-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Brown Zero Power Monthly,contact_lens,16754,4.75,49985
